Directors Guild Nominations and Winners for best Director from 1948,,,
Year,d nominees,Film,Ref.
1997,James Cameron,Titanic,Winner
1997,Curtis Hanson,L.A. Confidential,Nominee
1997,Gus Van Sant,Good Will Hunting,Nominee
1997,James L. Brooks,As Good as It Gets,Nominee
1997,Steven Spielberg,Amistad,Nominee
1998,Steven Spielberg,Saving Private Ryan,Winner
1998,John Madden,Shakespeare in Love,Nominee
1998,Peter Weir,The Truman Show,Nominee
1998,Roberto Benigni,Life Is Beautiful,Nominee
1998,Terrence Malick,The Thin Red Line,Nominee
1999,Sam Mendes,American Beauty,Winner
1999,Frank Darabont,The Green Mile,Nominee
1999,M. Night Shyamalan,The Sixth Sense,Nominee
1999,Michael Mann,The Insider,Nominee
1999,Spike Jonze,Being John Malkovich,Nominee
2000,Ang Lee,"Crouching Tiger, Hidden Dragon",Winner
2000,Cameron Crowe,Almost Famous,Nominee
2000,Ridley Scott,Gladiator,Nominee
2000,Steven Soderbergh,Erin Brockovich,Nominee
2000,Steven Soderbergh,Traffic,Nominee
2001,Ron Howard,A Beautiful Mind,Winner
2001,Baz Luhrmann,Moulin Rouge!,Nominee
2001,Christopher Nolan,Memento,Nominee
2001,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,Nominee
2001,Ridley Scott,Black Hawk Down,Nominee
2002,Rob Marshall,Chicago,Winner
2002,Martin Scorsese,Gangs of New York,Nominee
2002,Peter Jackson,The Lord of the Rings: The Two Towers,Nominee
2002,Roman Polanski,The Pianist,Nominee
2002,Stephen Daldry,The Hours,Nominee
2003,Peter Jackson,The Lord of the Rings: The Return of the King,Winner
2003,Clint Eastwood,Mystic River,Nominee
2003,Gary Ross,Seabiscuit,Nominee
2003,Peter Weir,Master and Commander: The Far Side of the World,Nominee
2003,Sofia Coppola,Lost in Translation,Nominee
2004,Clint Eastwood,Million Dollar Baby,Winner
2004,Alexander Payne,Sideways,Nominee
2004,Marc Forster,Finding Neverland,Nominee
2004,Martin Scorsese,The Aviator,Nominee
2004,Taylor Hackford,Ray,Nominee
2005,Ang Lee,Brokeback Mountain,Winner
2005,Bennett Miller,Capote,Nominee
2005,George Clooney,"Good Night, and Good Luck",Nominee
2005,Paul Haggis,Crash,Nominee
2005,Steven Spielberg,Munich,Nominee
2006,Martin Scorsese,The Departed,Winner
2006,Alejandro González Iñárritu,Babel,Nominee
2006,Bill Condon,Dreamgirls,Nominee
2006,Jonathan Dayton and Valerie Faris,Little Miss Sunshine,Nominee
